Cuisine,Ingredient,Frequency
Finnish,paprika,
Moroccan,paprika,179
Iranian Persian,paprika,8
Turkish,paprika,25
Portuguese,paprika,47
Hungarian,paprika,93
Georgian,paprika,1
Brazilian,paprika,8
Nigerian,paprika,4
Ethiopian,paprika,15
Ecuadorean,paprika,
Peruvian,paprika,11
Egyptian,paprika,8
Argentine,paprika,12
Chilean,paprika,6
Malaysian,paprika,
Nepalese,paprika,5
Vietnamese,paprika,3
Palestinian,paprika,4
Norwegian,paprika,4
Austrian,paprika,12
Libyan,paprika,2
Angolan,paprika,1
Korean,paprika,1
Cambodian,paprika,4
Mongolian,paprika,
Northamerican,chili powder,2592
Mexican,chili powder,1141
American,chili powder,1489
Canadian,chili powder,95
Hawaiian,chili powder,4
South Eestern United States,chili powder,751
Asian,chili powder,456
Indian,chili powder,306
German,chili powder,2
European,chili powder,158
Italian,chili powder,38
Southern United States,chili powder,277
Indonesian,chili powder,9
Pacific North West,chili powder,14
Polish,chili powder,
Chinese,chili powder,17
British Columbian,chili powder,16
Danish,chili powder,
Scandinavian,chili powder,2
Swiss,chili powder,
Swedish,chili powder,
French,chili powder,5
African,chili powder,73
Australian,chili powder,35
English,chili powder,11
Quebec,chili powder,3
Middle Eastern,chili powder,26
Lebanese,chili powder,4
Greek,chili powder,12
South American,chili powder,53
Russian,chili powder,1
Japanese,chili powder,5
Puertorican,chili powder,1
Spanish,chili powder,33
Irish,chili powder,1
Thai,chili powder,18
Polynesian,chili powder,6
Iraqi,chili powder,
Pakistani,chili powder,27
Scottish,chili powder,4
South African,chili powder,4
Colombian,chili powder,
Welsh,chili powder,1
Czech,chili powder,
Filipino,chili powder,
Cuban,chili powder,9
Belgian,chili powder,
Costarican,chili powder,1
Guatemalan,chili powder,
Finnish,chili powder,1
Moroccan,chili powder,26
Iranian Persian,chili powder,
Turkish,chili powder,1
Portuguese,chili powder,6
Hungarian,chili powder,2
Georgian,chili powder,
Brazilian,chili powder,3
Nigerian,chili powder,
Ethiopian,chili powder,3
Ecuadorean,chili powder,2
Peruvian,chili powder,3
Egyptian,chili powder,4
Argentine,chili powder,
Chilean,chili powder,3
Malaysian,chili powder,6
Nepalese,chili powder,5
Vietnamese,chili powder,
Palestinian,chili powder,1
Norwegian,chili powder,
Austrian,chili powder,
Libyan,chili powder,1
Angolan,chili powder,1
Korean,chili powder,6
Cambodian,chili powder,1
Mongolian,chili powder,
Northamerican,ground cumin,1844
Mexican,ground cumin,920
American,ground cumin,880
Canadian,ground cumin,69
Hawaiian,ground cumin,
South Eestern United States,ground cumin,508
Asian,ground cumin,716
Indian,ground cumin,435
German,ground cumin,1
European,ground cumin,276
Italian,ground cumin,19
Southern United States,ground cumin,117
Indonesian,ground cumin,18
Pacific North West,ground cumin,11
Polish,ground cumin,
Chinese,ground cumin,5
British Columbian,ground cumin,18
Danish,ground cumin,
Scandinavian,ground cumin,3
Swiss,ground cumin,
Swedish,ground cumin,2
French,ground cumin,14
African,ground cumin,517
Australian,ground cumin,67
English,ground cumin,16
Quebec,ground cumin,1
Middle Eastern,ground cumin,229
Lebanese,ground cumin,31
Greek,ground cumin,68
South American,ground cumin,123
Russian,ground cumin,2
Japanese,ground cumin,4
Puertorican,ground cumin,6
Spanish,ground cumin,51
Irish,ground cumin,3
Thai,ground cumin,42
Polynesian,ground cumin,1
Iraqi,ground cumin,8
Pakistani,ground cumin,19
Scottish,ground cumin,3
South African,ground cumin,16
Colombian,ground cumin,14
Welsh,ground cumin,2
Czech,ground cumin,
Filipino,ground cumin,
Cuban,ground cumin,42
Belgian,ground cumin,2
Costarican,ground cumin,4
Guatemalan,ground cumin,
Finnish,ground cumin,1
Moroccan,ground cumin,297
Iranian Persian,ground cumin,10
Turkish,ground cumin,21
Portuguese,ground cumin,9
Hungarian,ground cumin,2
Georgian,ground cumin,
Brazilian,ground cumin,9
Nigerian,ground cumin,1
Ethiopian,ground cumin,9
Ecuadorean,ground cumin,6
Peruvian,ground cumin,20
Egyptian,ground cumin,31
Argentine,ground cumin,12
Chilean,ground cumin,6
Malaysian,ground cumin,8
Nepalese,ground cumin,2
Vietnamese,ground cumin,
Palestinian,ground cumin,2
Norwegian,ground cumin,
Austrian,ground cumin,
Libyan,ground cumin,6
Angolan,ground cumin,1
Korean,ground cumin,
Cambodian,ground cumin,
Mongolian,ground cumin,
Northamerican,cheddar cheese,2869
Mexican,cheddar cheese,916
American,cheddar cheese,1730
Canadian,cheddar cheese,172
Hawaiian,cheddar cheese,3
South Eestern United States,cheddar cheese,471
Asian,cheddar cheese,23
Indian,cheddar cheese,10
German,cheddar cheese,15
European,cheddar cheese,403
Italian,cheddar cheese,88
Southern United States,cheddar cheese,322
Indonesian,cheddar cheese,
Pacific North West,cheddar cheese,40
Polish,cheddar cheese,17
Chinese,cheddar cheese,
British Columbian,cheddar cheese,18
Danish,cheddar cheese,2
Scandinavian,cheddar cheese,12
Swiss,cheddar cheese,6
Swedish,cheddar cheese,3
French,cheddar cheese,29
African,cheddar cheese,12
Australian,cheddar cheese,69
English,cheddar cheese,95
Quebec,cheddar cheese,5
Middle Eastern,cheddar cheese,2
Lebanese,cheddar cheese,
Greek,cheddar cheese,8
South American,cheddar cheese,23
Russian,cheddar cheese,6
Japanese,cheddar cheese,
Puertorican,cheddar cheese,1
Spanish,cheddar cheese,10
Irish,cheddar cheese,23
Thai,cheddar cheese,
Polynesian,cheddar cheese,2
Iraqi,cheddar cheese,
Pakistani,cheddar cheese,1
Scottish,cheddar cheese,32
South African,cheddar cheese,7
Colombian,cheddar cheese,
Welsh,cheddar cheese,25
Czech,cheddar cheese,3
Filipino,cheddar cheese,2
Cuban,cheddar cheese,1
Belgian,cheddar cheese,4
Costarican,cheddar cheese,
Guatemalan,cheddar cheese,
Finnish,cheddar cheese,1
Moroccan,cheddar cheese,2
Iranian Persian,cheddar cheese,
Turkish,cheddar cheese,
Portuguese,cheddar cheese,3
Hungarian,cheddar cheese,1
Georgian,cheddar cheese,
Brazilian,cheddar cheese,1
Nigerian,cheddar cheese,
Ethiopian,cheddar cheese,
Ecuadorean,cheddar cheese,
Peruvian,cheddar cheese,1
Egyptian,cheddar cheese,
Argentine,cheddar cheese,
Chilean,cheddar cheese,
Malaysian,cheddar cheese,
Nepalese,cheddar cheese,
Vietnamese,cheddar cheese,
Palestinian,cheddar cheese,
Norwegian,cheddar cheese,
Austrian,cheddar cheese,
Libyan,cheddar cheese,
Angolan,cheddar cheese,
Korean,cheddar cheese,1
Cambodian,cheddar cheese,
Mongolian,cheddar cheese,
Northamerican,extra virgin olive oil,1218
Mexican,extra virgin olive oil,143
American,extra virgin olive oil,737
Canadian,extra virgin olive oil,139
Hawaiian,extra virgin olive oil,1
South Eestern United States,extra virgin olive oil,88
Asian,extra virgin olive oil,256
Indian,extra virgin olive oil,30
German,extra virgin olive oil,16
European,extra virgin olive oil,2032
Italian,extra virgin olive oil,1115
Southern United States,extra virgin olive oil,111
Indonesian,extra virgin olive oil,
Pacific North West,extra virgin olive oil,33
Polish,extra virgin olive oil,4
Chinese,extra virgin olive oil,9
British Columbian,extra virgin olive oil,33
Danish,extra virgin olive oil,2
Scandinavian,extra virgin olive oil,13
Swiss,extra virgin olive oil,10
Swedish,extra virgin olive oil,3
French,extra virgin olive oil,125
African,extra virgin olive oil,170
Australian,extra virgin olive oil,95
English,extra virgin olive oil,29
Quebec,extra virgin olive oil,1
Middle Eastern,extra virgin olive oil,194
Lebanese,extra virgin olive oil,46
Greek,extra virgin olive oil,260
South American,extra virgin olive oil,54
Russian,extra virgin olive oil,14
Japanese,extra virgin olive oil,4
Puertorican,extra virgin olive oil,2
Spanish,extra virgin olive oil,160
Irish,extra virgin olive oil,11
Thai,extra virgin olive oil,8
Polynesian,extra virgin olive oil,4
Iraqi,extra virgin olive oil,5
Pakistani,extra virgin olive oil,
Scottish,extra virgin olive oil,4
South African,extra virgin olive oil,2
Colombian,extra virgin olive oil,
Welsh,extra virgin olive oil,1
Czech,extra virgin olive oil,1
Filipino,extra virgin olive oil,
Cuban,extra virgin olive oil,11
Belgian,extra virgin olive oil,4
Costarican,extra virgin olive oil,1
Guatemalan,extra virgin olive oil,
Finnish,extra virgin olive oil,2
Moroccan,extra virgin olive oil,76
Iranian Persian,extra virgin olive oil,8
Turkish,extra virgin olive oil,32
Portuguese,extra virgin olive oil,25
Hungarian,extra virgin olive oil,3
Georgian,extra virgin olive oil,
Brazilian,extra virgin olive oil,7
Nigerian,extra virgin olive oil,2
Ethiopian,extra virgin olive oil,4
Ecuadorean,extra virgin olive oil,1
Peruvian,extra virgin olive oil,4
Egyptian,extra virgin olive oil,12
Argentine,extra virgin olive oil,17
Chilean,extra virgin olive oil,6
Malaysian,extra virgin olive oil,
Nepalese,extra virgin olive oil,
Vietnamese,extra virgin olive oil,4
Palestinian,extra virgin olive oil,6
Norwegian,extra virgin olive oil,4
Austrian,extra virgin olive oil,5
Libyan,extra virgin olive oil,2
Angolan,extra virgin olive oil,1
Korean,extra virgin olive oil,
Cambodian,extra virgin olive oil,
Mongolian,extra virgin olive oil,
Northamerican,unsalted butter,1962
Mexican,unsalted butter,88
American,unsalted butter,1436
Canadian,unsalted butter,173
Hawaiian,unsalted butter,9
South Eestern United States,unsalted butter,73
Asian,unsalted butter,133
Indian,unsalted butter,45
German,unsalted butter,82
European,unsalted butter,1328
Italian,unsalted butter,277
Southern United States,unsalted butter,354
Indonesian,unsalted butter,
Pacific North West,unsalted butter,74
Polish,unsalted butter,15
Chinese,unsalted butter,8
British Columbian,unsalted butter,10
Danish,unsalted butter,10
Scandinavian,unsalted butter,78
Swiss,unsalted butter,27
Swedish,unsalted butter,18
French,unsalted butter,239
African,unsalted butter,83
Australian,unsalted butter,79
English,unsalted butter,143
Quebec,unsalted butter,6
Middle Eastern,unsalted butter,46
Lebanese,unsalted butter,6
Greek,unsalted butter,75
South American,unsalted butter,32
Russian,unsalted butter,19
Japanese,unsalted butter,7
Puertorican,unsalted butter,1
Spanish,unsalted butter,34
Irish,unsalted butter,55
Thai,unsalted butter,7
Polynesian,unsalted butter,3
Iraqi,unsalted butter,6
Pakistani,unsalted butter,2
Scottish,unsalted butter,88
South African,unsalted butter,5
Colombian,unsalted butter,1
Welsh,unsalted butter,8
Czech,unsalted butter,4
Filipino,unsalted butter,2
Cuban,unsalted butter,11
Belgian,unsalted butter,25
Costarican,unsalted butter,
Guatemalan,unsalted butter,2
Finnish,unsalted butter,6
Moroccan,unsalted butter,35
Iranian Persian,unsalted butter,10
Turkish,unsalted butter,10
Portuguese,unsalted butter,14
Hungarian,unsalted butter,19
Georgian,unsalted butter,1
Brazilian,unsalted butter,7
Nigerian,unsalted butter,
Ethiopian,unsalted butter,8
Ecuadorean,unsalted butter,3
Peruvian,unsalted butter,1
Egyptian,unsalted butter,6
Argentine,unsalted butter,3
Chilean,unsalted butter,2
Malaysian,unsalted butter,
Nepalese,unsalted butter,2
Vietnamese,unsalted butter,1
Palestinian,unsalted butter,
Norwegian,unsalted butter,11
Austrian,unsalted butter,12
Libyan,unsalted butter,
Angolan,unsalted butter,
Korean,unsalted butter,
Cambodian,unsalted butter,
Mongolian,unsalted butter,
Northamerican,fresh parsley,1448
Mexican,fresh parsley,58
American,fresh parsley,961
Canadian,fresh parsley,214
Hawaiian,fresh parsley,1
South Eestern United States,fresh parsley,51
Asian,fresh parsley,211
Indian,fresh parsley,28
German,fresh parsley,72
European,fresh parsley,1635
Italian,fresh parsley,607
Southern United States,fresh parsley,282
Indonesian,fresh parsley,3
Pacific North West,fresh parsley,50
Polish,fresh parsley,15
Chinese,fresh parsley,6
British Columbian,fresh parsley,37
Danish,fresh parsley,4
Scandinavian,fresh parsley,35
Swiss,fresh parsley,15
Swedish,fresh parsley,10
French,fresh parsley,131
African,fresh parsley,169
Australian,fresh parsley,105
English,fresh parsley,75
Quebec,fresh parsley,9
Middle Eastern,fresh parsley,162
Lebanese,fresh parsley,26
Greek,fresh parsley,231
South American,fresh parsley,54
Russian,fresh parsley,20
Japanese,fresh parsley,4
Puertorican,fresh parsley,3
Spanish,fresh parsley,97
Irish,fresh parsley,44
Thai,fresh parsley,2
Polynesian,fresh parsley,
Iraqi,fresh parsley,6
Pakistani,fresh parsley,
Scottish,fresh parsley,30
South African,fresh parsley,3
Colombian,fresh parsley,5
Welsh,fresh parsley,10
Czech,fresh parsley,6
Filipino,fresh parsley,
Cuban,fresh parsley,5
Belgian,fresh parsley,11
Costarican,fresh parsley,
Guatemalan,fresh parsley,1
Finnish,fresh parsley,6
Moroccan,fresh parsley,97
Iranian Persian,fresh parsley,15
Turkish,fresh parsley,26
Portuguese,fresh parsley,38
Hungarian,fresh parsley,9
Georgian,fresh parsley,1
Brazilian,fresh parsley,12
Nigerian,fresh parsley,
Ethiopian,fresh parsley,2
Ecuadorean,fresh parsley,1
Peruvian,fresh parsley,5
Egyptian,fresh parsley,10
Argentine,fresh parsley,15
Chilean,fresh parsley,7
Malaysian,fresh parsley,
Nepalese,fresh parsley,
Vietnamese,fresh parsley,1
Palestinian,fresh parsley,11
Norwegian,fresh parsley,6
Austrian,fresh parsley,6
Libyan,fresh parsley,6
Angolan,fresh parsley,
Korean,fresh parsley,
Cambodian,fresh parsley,
Mongolian,fresh parsley,
Northamerican,chicken broth,1892
Mexican,chicken broth,438
American,chicken broth,1152
Canadian,chicken broth,119
Hawaiian,chicken broth,11
South Eestern United States,chicken broth,177
Asian,chicken broth,631
Indian,chicken broth,56
German,chicken broth,38
European,chicken broth,896
Italian,chicken broth,382
Southern United States,chicken broth,335
Indonesian,chicken broth,8
Pacific North West,chicken broth,24
Polish,chicken broth,19
Chinese,chicken broth,177
British Columbian,chicken broth,14
Danish,chicken broth,2
Scandinavian,chicken broth,17
Swiss,chicken broth,7
Swedish,chicken broth,5
French,chicken broth,80
African,chicken broth,123
Australian,chicken broth,9
English,chicken broth,17
Quebec,chicken broth,3
Middle Eastern,chicken broth,52
Lebanese,chicken broth,4
Greek,chicken broth,83
South American,chicken broth,66
Russian,chicken broth,5
Japanese,chicken broth,15
Puertorican,chicken broth,2
Spanish,chicken broth,70
Irish,chicken broth,11
Thai,chicken broth,70
Polynesian,chicken broth,3
Iraqi,chicken broth,1
Pakistani,chicken broth,2
Scottish,chicken broth,8
South African,chicken broth,5
Colombian,chicken broth,4
Welsh,chicken broth,
Czech,chicken broth,4
Filipino,chicken broth,5
Cuban,chicken broth,9
Belgian,chicken broth,2
Costarican,chicken broth,3
Guatemalan,chicken broth,1
Finnish,chicken broth,
Moroccan,chicken broth,47
Iranian Persian,chicken broth,6
Turkish,chicken broth,5
Portuguese,chicken broth,22
Hungarian,chicken broth,19
Georgian,chicken broth,
Brazilian,chicken broth,5
Nigerian,chicken broth,2
Ethiopian,chicken broth,1
Ecuadorean,chicken broth,3
Peruvian,chicken broth,8
Egyptian,chicken broth,5
Argentine,chicken broth,2
Chilean,chicken broth,6
Malaysian,chicken broth,2
Nepalese,chicken broth,3
Vietnamese,chicken broth,10
Palestinian,chicken broth,2
Norwegian,chicken broth,4
Austrian,chicken broth,1
Libyan,chicken broth,
Angolan,chicken broth,1
Korean,chicken broth,2
Cambodian,chicken broth,1
Mongolian,chicken broth,
Northamerican,honey,1817
Mexican,honey,125
American,honey,1199
Canadian,honey,183
Hawaiian,honey,34
South Eestern United States,honey,106
Asian,honey,866
Indian,honey,70
German,honey,45
European,honey,772
Italian,honey,105
Southern United States,honey,232
Indonesian,honey,9
Pacific North West,honey,41
Polish,honey,16
Chinese,honey,162
British Columbian,honey,23
Danish,honey,1
Scandinavian,honey,32
Swiss,honey,16
Swedish,honey,10
French,honey,68
African,honey,204
Australian,honey,162
English,honey,75
Quebec,honey,9
Middle Eastern,honey,122
Lebanese,honey,13
Greek,honey,137
South American,honey,30
Russian,honey,17
Japanese,honey,39
Puertorican,honey,1
Spanish,honey,26
Irish,honey,33
Thai,honey,58
Polynesian,honey,10
Iraqi,honey,5
Pakistani,honey,1
Scottish,honey,26
South African,honey,9
Colombian,honey,
Welsh,honey,11
Czech,honey,5
Filipino,honey,3
Cuban,honey,6
Belgian,honey,4
Costarican,honey,
Guatemalan,honey,2
Finnish,honey,5
Moroccan,honey,97
Iranian Persian,honey,14
Turkish,honey,14
Portuguese,honey,6
Hungarian,honey,4
Georgian,honey,1
Brazilian,honey,3
Nigerian,honey,
Ethiopian,honey,5
Ecuadorean,honey,2
Peruvian,honey,4
Egyptian,honey,5
Argentine,honey,2
Chilean,honey,2
Malaysian,honey,5
Nepalese,honey,4
Vietnamese,honey,13
Palestinian,honey,3
Norwegian,honey,3
Austrian,honey,
Libyan,honey,2
Angolan,honey,
Korean,honey,17
Cambodian,honey,4
Mongolian,honey,1
Northamerican,fresh ground black pepper,1559
Mexican,fresh ground black pepper,168
American,fresh ground black pepper,1059
Canadian,fresh ground black pepper,90
Hawaiian,fresh ground black pepper,6
South Eestern United States,fresh ground black pepper,118
Asian,fresh ground black pepper,358
Indian,fresh ground black pepper,58
German,fresh ground black pepper,40
European,fresh ground black pepper,1368
Italian,fresh ground black pepper,557
Southern United States,fresh ground black pepper,257
Indonesian,fresh ground black pepper,8
Pacific North West,fresh ground black pepper,27
Polish,fresh ground black pepper,9
Chinese,fresh ground black pepper,41
British Columbian,fresh ground black pepper,15
Danish,fresh ground black pepper,3
Scandinavian,fresh ground black pepper,34
Swiss,fresh ground black pepper,10
Swedish,fresh ground black pepper,10
French,fresh ground black pepper,158
African,fresh ground black pepper,136
Australian,fresh ground black pepper,156
English,fresh ground black pepper,75
Quebec,fresh ground black pepper,2
Middle Eastern,fresh ground black pepper,95
Lebanese,fresh ground black pepper,11
Greek,fresh ground black pepper,177
South American,fresh ground black pepper,65
Russian,fresh ground black pepper,19
Japanese,fresh ground black pepper,16
Puertorican,fresh ground black pepper,3
Spanish,fresh ground black pepper,67
Irish,fresh ground black pepper,19
Thai,fresh ground black pepper,29
Polynesian,fresh ground black pepper,1
Iraqi,fresh ground black pepper,9
Pakistani,fresh ground black pepper,3
Scottish,fresh ground black pepper,17
South African,fresh ground black pepper,7
Colombian,fresh ground black pepper,2
Welsh,fresh ground black pepper,9
Czech,fresh ground black pepper,2
Filipino,fresh ground black pepper,11
Cuban,fresh ground black pepper,15
Belgian,fresh ground black pepper,7
Costarican,fresh ground black pepper,3
Guatemalan,fresh ground black pepper,2
Finnish,fresh ground black pepper,5
Moroccan,fresh ground black pepper,54
Iranian Persian,fresh ground black pepper,7
Turkish,fresh ground black pepper,13
Portuguese,fresh ground black pepper,22
Hungarian,fresh ground black pepper,15
Georgian,fresh ground black pepper,1
Brazilian,fresh ground black pepper,11
Nigerian,fresh ground black pepper,2
Ethiopian,fresh ground black pepper,7
Ecuadorean,fresh ground black pepper,2
Peruvian,fresh ground black pepper,12
Egyptian,fresh ground black pepper,18
Argentine,fresh ground black pepper,7
Chilean,fresh ground black pepper,4
Malaysian,fresh ground black pepper,
Nepalese,fresh ground black pepper,
Vietnamese,fresh ground black pepper,24
Palestinian,fresh ground black pepper,3
Norwegian,fresh ground black pepper,2
Austrian,fresh ground black pepper,6
Libyan,fresh ground black pepper,2
Angolan,fresh ground black pepper,1
Korean,fresh ground black pepper,6
Cambodian,fresh ground black pepper,4
Mongolian,fresh ground black pepper,
Northamerican,baking soda,2714
Mexican,baking soda,56
American,baking soda,1875
Canadian,baking soda,312
Hawaiian,baking soda,27
South Eestern United States,baking soda,63
Asian,baking soda,138
Indian,baking soda,38
German,baking soda,60
European,baking soda,642
Italian,baking soda,62
Southern United States,baking soda,309
Indonesian,baking soda,
Pacific North West,baking soda,50
Polish,baking soda,5
Chinese,baking soda,25
British Columbian,baking soda,31
Danish,baking soda,22
Scandinavian,baking soda,105
Swiss,baking soda,10
Swedish,baking soda,32
French,baking soda,21
African,baking soda,48
Australian,baking soda,43
English,baking soda,73
Quebec,baking soda,10
Middle Eastern,baking soda,38
Lebanese,baking soda,6
Greek,baking soda,35
South American,baking soda,20
Russian,baking soda,14
Japanese,baking soda,14
Puertorican,baking soda,1
Spanish,baking soda,4
Irish,baking soda,79
Thai,baking soda,1
Polynesian,baking soda,2
Iraqi,baking soda,1
Pakistani,baking soda,
Scottish,baking soda,39
South African,baking soda,18
Colombian,baking soda,2
Welsh,baking soda,4
Czech,baking soda,1
Filipino,baking soda,2
Cuban,baking soda,1
Belgian,baking soda,4
Costarican,baking soda,1
Guatemalan,baking soda,
Finnish,baking soda,11
Moroccan,baking soda,3
Iranian Persian,baking soda,1
Turkish,baking soda,1
Portuguese,baking soda,4
Hungarian,baking soda,6
Georgian,baking soda,
Brazilian,baking soda,1
Nigerian,baking soda,
Ethiopian,baking soda,1
Ecuadorean,baking soda,
Peruvian,baking soda,1
Egyptian,baking soda,1
Argentine,baking soda,3
Chilean,baking soda,1
Malaysian,baking soda,1
Nepalese,baking soda,1
Vietnamese,baking soda,
Palestinian,baking soda,2
Norwegian,baking soda,15
Austrian,baking soda,4
Libyan,baking soda,
Angolan,baking soda,
Korean,baking soda,1
Cambodian,baking soda,
Mongolian,baking soda,
Northamerican,parsley,1330
Mexican,parsley,71
American,parsley,943
Canadian,parsley,166
Hawaiian,parsley,6
South Eestern United States,parsley,53
Asian,parsley,249
Indian,parsley,31
German,parsley,91
European,parsley,1558
Italian,parsley,485
Southern United States,parsley,299
Indonesian,parsley,2
Pacific North West,parsley,56
Polish,parsley,14
Chinese,parsley,7
British Columbian,parsley,25
Danish,parsley,7
Scandinavian,parsley,54
Swiss,parsley,15
Swedish,parsley,22
French,parsley,173
African,parsley,175
Australian,parsley,130
English,parsley,68
Quebec,parsley,7
Middle Eastern,parsley,209
Lebanese,parsley,42
Greek,parsley,183
South American,parsley,69
Russian,parsley,27
Japanese,parsley,7
Puertorican,parsley,1
Spanish,parsley,92
Irish,parsley,38
Thai,parsley,4
Polynesian,parsley,6
Iraqi,parsley,7
Pakistani,parsley,2
Scottish,parsley,20
South African,parsley,11
Colombian,parsley,2
Welsh,parsley,10
Czech,parsley,6
Filipino,parsley,2
Cuban,parsley,8
Belgian,parsley,16
Costarican,parsley,1
Guatemalan,parsley,
Finnish,parsley,6
Moroccan,parsley,81
Iranian Persian,parsley,20
Turkish,parsley,31
Portuguese,parsley,40
Hungarian,parsley,20
Georgian,parsley,3
Brazilian,parsley,12
Nigerian,parsley,3
Ethiopian,parsley,3
Ecuadorean,parsley,4
Peruvian,parsley,16
Egyptian,parsley,12
Argentine,parsley,11
Chilean,parsley,3
Malaysian,parsley,
Nepalese,parsley,
Vietnamese,parsley,2
Palestinian,parsley,11
Norwegian,parsley,10
Austrian,parsley,12
Libyan,parsley,2
Angolan,parsley,
Korean,parsley,1
Cambodian,parsley,
Mongolian,parsley,
Northamerican,cayenne pepper,1937
Mexican,cayenne pepper,300
American,cayenne pepper,1380
Canadian,cayenne pepper,146
Hawaiian,cayenne pepper,5
South Eestern United States,cayenne pepper,242
Asian,cayenne pepper,483
Indian,cayenne pepper,223
German,cayenne pepper,10
European,cayenne pepper,462
Italian,cayenne pepper,107
Southern United States,cayenne pepper,634
Indonesian,cayenne pepper,13
Pacific North West,cayenne pepper,43
Polish,cayenne pepper,3
Chinese,cayenne pepper,21
British Columbian,cayenne pepper,36
Danish,cayenne pepper,2
Scandinavian,cayenne pepper,6
Swiss,cayenne pepper,4
Swedish,cayenne pepper,1
French,cayenne pepper,55
African,cayenne pepper,230
Australian,cayenne pepper,32
English,cayenne pepper,53
Quebec,cayenne pepper,1
Middle Eastern,cayenne pepper,96
Lebanese,cayenne pepper,17
Greek,cayenne pepper,51
South American,cayenne pepper,46
Russian,cayenne pepper,4
Japanese,cayenne pepper,12
Puertorican,cayenne pepper,
Spanish,cayenne pepper,48
Irish,cayenne pepper,6
Thai,cayenne pepper,35
Polynesian,cayenne pepper,6
Iraqi,cayenne pepper,2
Pakistani,cayenne pepper,9
Scottish,cayenne pepper,22
South African,cayenne pepper,10
Colombian,cayenne pepper,3
Welsh,cayenne pepper,9
Czech,cayenne pepper,1
Filipino,cayenne pepper,1
Cuban,cayenne pepper,4
Belgian,cayenne pepper,2
Costarican,cayenne pepper,3
Guatemalan,cayenne pepper,2
Finnish,cayenne pepper,1
Moroccan,cayenne pepper,118
Iranian Persian,cayenne pepper,4
Turkish,cayenne pepper,14
Portuguese,cayenne pepper,14
Hungarian,cayenne pepper,6
Georgian,cayenne pepper,1
Brazilian,cayenne pepper,6
Nigerian,cayenne pepper,4
Ethiopian,cayenne pepper,4
Ecuadorean,cayenne pepper,2
Peruvian,cayenne pepper,2
Egyptian,cayenne pepper,12
Argentine,cayenne pepper,7
Chilean,cayenne pepper,3
Malaysian,cayenne pepper,3
Nepalese,cayenne pepper,1
Vietnamese,cayenne pepper,6
Palestinian,cayenne pepper,1
Norwegian,cayenne pepper,1
Austrian,cayenne pepper,3
Libyan,cayenne pepper,1
Angolan,cayenne pepper,
Korean,cayenne pepper,4
Cambodian,cayenne pepper,2
Mongolian,cayenne pepper,
Northamerican,cornstarch,1351
Mexican,cornstarch,79
American,cornstarch,925
Canadian,cornstarch,177
Hawaiian,cornstarch,58
South Eestern United States,cornstarch,53
Asian,cornstarch,1620
Indian,cornstarch,38
German,cornstarch,60
European,cornstarch,530
Italian,cornstarch,86
Southern United States,cornstarch,194
Indonesian,cornstarch,8
Pacific North West,cornstarch,31
Polish,cornstarch,7
Chinese,cornstarch,700
British Columbian,cornstarch,25
Danish,cornstarch,18
Scandinavian,cornstarch,40
Swiss,cornstarch,25
Swedish,cornstarch,7
French,cornstarch,85
African,cornstarch,47
Australian,cornstarch,26
English,cornstarch,34
Quebec,cornstarch,3
Middle Eastern,cornstarch,30
Lebanese,cornstarch,4
Greek,cornstarch,30
South American,cornstarch,24
Russian,cornstarch,7
Japanese,cornstarch,60
Puertorican,cornstarch,4
Spanish,cornstarch,19
Irish,cornstarch,18
Thai,cornstarch,59
Polynesian,cornstarch,16
Iraqi,cornstarch,1
Pakistani,cornstarch,
Scottish,cornstarch,35
South African,cornstarch,11
Colombian,cornstarch,3
Welsh,cornstarch,2
Czech,cornstarch,5
Filipino,cornstarch,22
Cuban,cornstarch,3
Belgian,cornstarch,6
Costarican,cornstarch,1
Guatemalan,cornstarch,
Finnish,cornstarch,5
Moroccan,cornstarch,10
Iranian Persian,cornstarch,5
Turkish,cornstarch,2
Portuguese,cornstarch,7
Hungarian,cornstarch,5
Georgian,cornstarch,
Brazilian,cornstarch,3
Nigerian,cornstarch,1
Ethiopian,cornstarch,
Ecuadorean,cornstarch,1
Peruvian,cornstarch,
Egyptian,cornstarch,3
Argentine,cornstarch,2
Chilean,cornstarch,4
Malaysian,cornstarch,9
Nepalese,cornstarch,2
Vietnamese,cornstarch,22
Palestinian,cornstarch,2
Norwegian,cornstarch,4
Austrian,cornstarch,5
Libyan,cornstarch,1
Angolan,cornstarch,
Korean,cornstarch,9
Cambodian,cornstarch,7
Mongolian,cornstarch,6
Northamerican,vanilla,2448
Mexican,vanilla,89
American,vanilla,1663
Canadian,vanilla,316
Hawaiian,vanilla,22
South Eestern United States,vanilla,38
Asian,vanilla,73
Indian,vanilla,8
German,vanilla,72
European,vanilla,701
Italian,vanilla,107
Southern United States,vanilla,313
Indonesian,vanilla,1
Pacific North West,vanilla,54
Polish,vanilla,20
Chinese,vanilla,11
British Columbian,vanilla,39
Danish,vanilla,21
Scandinavian,vanilla,78
Swiss,vanilla,7
Swedish,vanilla,19
French,vanilla,81
African,vanilla,53
Australian,vanilla,35
English,vanilla,47
Quebec,vanilla,14
Middle Eastern,vanilla,24
Lebanese,vanilla,4
Greek,vanilla,39
South American,vanilla,22
Russian,vanilla,10
Japanese,vanilla,9
Puertorican,vanilla,3
Spanish,vanilla,7
Irish,vanilla,23
Thai,vanilla,3
